"Year=YEAR","JURISDICTION","Licence_Holders","Sum(FINES)","Rate_per_10000_Holders"
2023,"WA",2196587,3592,16.352641620841787
2023,"TAS",397866,2428,61.02557142354461
2023,"NT",173908,205,11.787841847413574
2023,"ACT",362893,288,7.936223625145705
2024,"NSW",5999676,161997,270.0095805173479
2024,"VIC",5149059,55075,106.9612913738219
2024,"QLD",4128512,75334,182.47252278787127
2024,"SA",1331101,4605,34.59542138425259
2024,"WA",2252227,3731,16.565825736038153
2024,"TAS",400271,2815,70.32735321819467
2024,"NT",176711,244,13.807855764496834
2024,"ACT",369645,27125,733.8121711371722
