"YEAR","AGE_GROUP","Mean(FINES)"
2023,"40-64",1151
2024,"40-64",868
2023,"26-39",774
2024,"26-39",633
2023,"65 and over",357
2023,"17-25",314
2024,"17-25",291
2024,"65 and over",252
2024,"0-16",28
2023,"0-16",1
